"Qty";"Value";"Device";"Package";"Parts";"Description";"JLC";"LCSC";"POPULARITY";"PROD_ID";"SF_SKU";"SPICEPREFIX";
"1";"";"MOMENTARY-SWITCH-SPST-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"S1";"Momentary Switch (Pushbutton) - SPST";"TS-1187A-C-D-B";"C318888";"";"SWCH-08247";"COM-08720";"";
"2";"100nF";"C-EUC0402K";"C0402K";"C1, C4";"CAPACITOR, European symbol";"CL05B104KO5NNNC";"C1525";"15";"";"";"C";
"1";"10µF / 16V";"CPOL-EUCT3216";"CT3216";"C2";"POLARIZED CAPACITOR, European symbol";"TAJA106K016RNJ";"C7171";"1";"";"";"C";
"3";"2.2k";"R-EU_R0402";"R0402";"R1, R2, R3";"RESISTOR, European symbol";"0402WGF2201TCE";"C25879";"0";"";"";"R";
"1";"220nF";"C-EUC0402K";"C0402K";"C3";"CAPACITOR, European symbol";"CL05B224KO5NNNC";"C16772";"15";"";"";"C";
"7";"49";"R-EU_R0402";"R0402";"R4, R5, R6, R7, R8, R9, R11";"RESISTOR, European symbol";"0603WAF470JT5E";"C23182";"0";"";"";"R";
"1";"ATTINY84ATTINY84-20MU";"ATTINY84ATTINY84-20MU";"QFN20";"U$1";"Atmel 14-pin 2/4/8kB flash uC";"ATTINY44A-MU";"C123718";"";"";"";"";
"1";"MINI-ISP";"MINI-ISP";"MINI-ISP";"J1";"";"";"";"";"";"";"";
"1";"QMC5883L";"QMC5883L";"QFN50P300X300X102-16N";"U1";"";"QMC5883L-TR";"C192585";"";"";"";"";
"32";"RED";"DIODE'0603'";"SOD-523";"D1, D2, D3, D4, D5, D6, D7, D8, D10, D11, D12, D13, D14, D15, D16, D17, D19, D20, D21, D22, D23, D24, D25, D26, D28, D29, D30, D31, D32, D33, D34, D35";"";"";"";"";"";"";"";
"1";"SMTU2032";"SMTU2032";"SMTU2032";"U$2";"";"";"";"";"";"";"";
"4";"YELLOW";"DIODE'0603'";"SOD-523";"D9, D18, D27, D36";"";"";"";"";"";"";"";
