"Comment","Designator","Footprint","LCSC Part"
"","S1","TACTILE_SWITCH_SMD_5.2MM","C318888"
"100nF","C1, C4","C0402K","C1525"
"10µF / 16V","C2","CT3216","C7171"
"2.2k","R1, R2, R3","R0402","C25879"
"220nF","C3","C0402K","C16772"
"49","R4, R5, R6, R7, R8, R9, R11","R0402","C23182"
"ATTINY84ATTINY84-20MU","U$1","QFN20","C123718"
"MINI-ISP","J1","MINI-ISP",""
"QMC5883L","U1","QFN50P300X300X102-16N","C192585"
"RED","D1, D2, D3, D4, D5, D6, D7, D8, D10, D11, D12, D13, D14, D15, D16, D17, D19, D20, D21, D22, D23, D24, D25, D26, D28, D29, D30, D31, D32, D33, D34, D35","SOD-523",""
"SMTU2032","U$2","SMTU2032",""
"YELLOW","D9, D18, D27, D36","SOD-523",""
