"Designator","Mid X","Mid Y","Layer","Rotation"
"C1"," 14.00"," 10.50","TOP"," 180.00"
"C2"," 18.00"," 9.00","TOP"," 180.00"
"C3"," 20.50"," 11.00","TOP"," 90.00"
"C4"," 17.00"," 20.50","TOP"," 180.00"
"D1"," 31.77"," 19.60","TOP"," 10.00"
"D10"," 14.40"," 31.77","TOP"," 280.00"
"D11"," 11.87"," 31.10","TOP"," 110.00"
"D12"," 9.50"," 29.99","TOP"," 300.00"
"D13"," 7.36"," 28.49","TOP"," 130.00"
"D14"," 5.51"," 26.64","TOP"," 320.00"
"D15"," 4.01"," 24.50","TOP"," 150.00"
"D16"," 2.90"," 22.13","TOP"," 340.00"
"D17"," 2.23"," 19.60","TOP"," 170.00"
"D18"," 2.00"," 17.00","TOP"," 0.00"
"D19"," 2.23"," 14.40","TOP"," 190.00"
"D2"," 31.10"," 22.13","TOP"," 200.00"
"D20"," 2.90"," 11.87","TOP"," 20.00"
"D21"," 4.01"," 9.50","TOP"," 210.00"
"D22"," 5.51"," 7.36","TOP"," 40.00"
"D23"," 7.36"," 5.51","TOP"," 230.00"
"D24"," 9.50"," 4.01","TOP"," 60.00"
"D25"," 11.87"," 2.90","TOP"," 250.00"
"D26"," 14.40"," 2.23","TOP"," 80.00"
"D27"," 17.00"," 2.00","TOP"," 270.00"
"D28"," 19.60"," 2.23","TOP"," 100.00"
"D29"," 22.13"," 2.90","TOP"," 290.00"
"D3"," 29.99"," 24.50","TOP"," 30.00"
"D30"," 24.50"," 4.01","TOP"," 120.00"
"D31"," 26.64"," 5.51","TOP"," 310.00"
"D32"," 28.49"," 7.36","TOP"," 140.00"
"D33"," 29.99"," 9.50","TOP"," 330.00"
"D34"," 31.10"," 11.87","TOP"," 160.00"
"D35"," 31.77"," 14.40","TOP"," 350.00"
"D36"," 32.00"," 17.00","TOP"," 180.00"
"D4"," 28.49"," 26.64","TOP"," 220.00"
"D5"," 26.64"," 28.49","TOP"," 50.00"
"D6"," 24.50"," 29.99","TOP"," 240.00"
"D7"," 22.13"," 31.10","TOP"," 70.00"
"D8"," 19.60"," 31.77","TOP"," 260.00"
"D9"," 17.00"," 32.00","TOP"," 90.00"
"R1"," 14.00"," 12.00","TOP"," 180.00"
"R11"," 21.00"," 22.00","TOP"," 180.00"
"R2"," 14.00"," 13.00","TOP"," 180.00"
"R3"," 21.00"," 23.00","TOP"," 0.00"
"R4"," 13.00"," 25.50","TOP"," 0.00"
"R5"," 13.00"," 24.50","TOP"," 0.00"
"R6"," 13.00"," 23.50","TOP"," 0.00"
"R7"," 13.00"," 22.50","TOP"," 0.00"
"R8"," 21.00"," 25.00","TOP"," 180.00"
"R9"," 13.00"," 21.50","TOP"," 0.00"
"S1"," 17.00"," 17.00","TOP"," 0.00"
"U$1"," 17.00"," 23.50","TOP"," 0.00"
"U1"," 17.50"," 12.00","TOP"," 0.00"
