C1, 14.00, 10.50, 180.00, 100nF, C0402K
C2, 18.00, 9.00, 180.00, 10µF / 16V, CT3216
C3, 20.50, 11.00, 90.00, 220nF, C0402K
C4, 17.00, 20.50, 180.00, 100nF, C0402K
D1, 31.77, 19.60, 10.00, RED, SOD-523
D10, 14.40, 31.77, 280.00, RED, SOD-523
D11, 11.87, 31.10, 110.00, RED, SOD-523
D12, 9.50, 29.99, 300.00, RED, SOD-523
D13, 7.36, 28.49, 130.00, RED, SOD-523
D14, 5.51, 26.64, 320.00, RED, SOD-523
D15, 4.01, 24.50, 150.00, RED, SOD-523
D16, 2.90, 22.13, 340.00, RED, SOD-523
D17, 2.23, 19.60, 170.00, RED, SOD-523
D18, 2.00, 17.00, 0.00, YELLOW, SOD-523
D19, 2.23, 14.40, 190.00, RED, SOD-523
D2, 31.10, 22.13, 200.00, RED, SOD-523
D20, 2.90, 11.87, 20.00, RED, SOD-523
D21, 4.01, 9.50, 210.00, RED, SOD-523
D22, 5.51, 7.36, 40.00, RED, SOD-523
D23, 7.36, 5.51, 230.00, RED, SOD-523
D24, 9.50, 4.01, 60.00, RED, SOD-523
D25, 11.87, 2.90, 250.00, RED, SOD-523
D26, 14.40, 2.23, 80.00, RED, SOD-523
D27, 17.00, 2.00, 270.00, YELLOW, SOD-523
D28, 19.60, 2.23, 100.00, RED, SOD-523
D29, 22.13, 2.90, 290.00, RED, SOD-523
D3, 29.99, 24.50, 30.00, RED, SOD-523
D30, 24.50, 4.01, 120.00, RED, SOD-523
D31, 26.64, 5.51, 310.00, RED, SOD-523
D32, 28.49, 7.36, 140.00, RED, SOD-523
D33, 29.99, 9.50, 330.00, RED, SOD-523
D34, 31.10, 11.87, 160.00, RED, SOD-523
D35, 31.77, 14.40, 350.00, RED, SOD-523
D36, 32.00, 17.00, 180.00, YELLOW, SOD-523
D4, 28.49, 26.64, 220.00, RED, SOD-523
D5, 26.64, 28.49, 50.00, RED, SOD-523
D6, 24.50, 29.99, 240.00, RED, SOD-523
D7, 22.13, 31.10, 70.00, RED, SOD-523
D8, 19.60, 31.77, 260.00, RED, SOD-523
D9, 17.00, 32.00, 90.00, YELLOW, SOD-523
R1, 14.00, 12.00, 180.00, 2.2k, R0402
R11, 21.00, 22.00, 180.00, 49, R0402
R2, 14.00, 13.00, 180.00, 2.2k, R0402
R3, 21.00, 23.00, 0.00, 2.2k, R0402
R4, 13.00, 25.50, 0.00, 49, R0402
R5, 13.00, 24.50, 0.00, 49, R0402
R6, 13.00, 23.50, 0.00, 49, R0402
R7, 13.00, 22.50, 0.00, 49, R0402
R8, 21.00, 25.00, 180.00, 49, R0402
R9, 13.00, 21.50, 0.00, 49, R0402
S1, 17.00, 17.00, 0.00, , TACTILE_SWITCH_SMD_5.2MM
U$1, 17.00, 23.50, 0.00, ATTINY84ATTINY84-20MU, QFN20
U1, 17.50, 12.00, 0.00, QMC5883L, QFN50P300X300X102-16N
